run,model,train_size,fit,predict,score
2,SVM,0.2,14.292815208435059,26.056631326675415,0.5720924057355284
2,MNB,0.2,0.07506680488586426,0.026897907257080078,0.38688263409453
2,DT,0.2,3.395007848739624,0.012546539306640625,0.4305629314922995
2,RF,0.2,5.2759668827056885,0.7083408832550049,0.6331651619755709
2,KNN,0.2,0.003617525100708008,2.101106882095337,0.32620817843866173
2,BC,0.2,0.019943952560424805,0.10316872596740723,0.8104089219330854
2,LR,0.3,36.25357913970947,0.02875661849975586,0.6817578332448221
2,SVM,0.3,31.854676008224487,39.82797050476074,0.6460435475305364
2,MNB,0.3,0.08589029312133789,0.028045177459716797,0.5910780669144982
2,DT,0.3,5.4355645179748535,0.01293325424194336,0.4632235793945831
2,RF,0.3,8.637200355529785,0.7693700790405273,0.6756505576208178
